date,match_date,home_team,away_team,prediction,confidence,odds,implied_prob,stake,value,actual_result,profit,bankroll
2025-12-27 22:46,2025-12-28,Sunderland,Leeds,H,0.561,2.625,0.381,50.0,0.474,D,-50.0,950.0
2025-12-27 22:46,2025-12-28,Crystal Palace,Tottenham,A,0.403,3.2,0.312,32.96,0.29,A,72.51,1022.51
2025-12-28 18:40,2026-01-01,Crystal Palace,Fulham,A,0.425,3.4,0.294,47.56,0.447,D,-47.56,974.95
2025-12-28 18:40,2025-12-30,West Ham,Brighton,H,0.374,3.1,0.323,19.4,0.159,D,-19.4,955.55
2025-12-28 18:40,2025-12-30,Burnley,Newcastle,A,0.69,1.65,0.606,51.13,0.138,A,33.23,1008.18
2025-12-28 18:40,2026-01-01,Liverpool,Leeds,H,0.691,1.53,0.654,27.83,0.058,D,-27.83,947.12
2025-12-28 18:40,2026-01-01,Brentford,Tottenham,H,0.449,2.25,0.444,1.98,0.01,D,-1.98,945.14
2026-01-04 22:29,2026-01-07,Fulham,Chelsea,H,0.483,3.3,0.303,47.26,0.594,H,108.7,1053.84
2026-01-04 22:29,2026-01-06,West Ham,Nott'm Forest,H,0.41,3.0,0.333,27.09,0.229,A,-27.09,918.05
2026-01-04 22:29,2026-01-07,Crystal Palace,Aston Villa,A,0.48,2.4,0.417,25.72,0.152,D,-25.72,892.33
2026-01-04 22:30,2026-01-07,Brentford,Sunderland,H,0.613,1.8,0.556,30.8,0.104,H,24.64,916.97
2026-01-04 22:30,2026-01-08,Arsenal,Liverpool,H,0.66,1.62,0.617,26.43,0.069,,,
2026-01-04 22:31,2026-01-07,Burnley,Man United,A,0.612,1.73,0.578,19.18,0.059,D,-19.18,897.79
